Phylum,Class,Order,Family,Genus,Species,Taxa,TSN,Common_name,Sex,Size_Maturity,Season_or_doy,Capture_method,Region,LME_Continent,Ocean_Freshwater,Storage_method,Storage_duration_years,Methodology,Sample_Type,N_replicates,Size_min_mm,Size_max_mm,Size_min_g,Size_max_g,Ash_perc,H2O_perc,Lipid_perc,AFLDM,Dry_KJg_mean,Dry_KJg_SD,Ash_KJg,Wet_KJg_mean,Wet_KJg_SD,Wet_KJg_min,Wet_KJg_max,Indigestible_perc,Publication_Type,Publication_Author,Publication_Journal,Publication_Year,Notes
Chordata,Teleostei,Gadiformes,Merlucciidae,Macruronus,novaezelandiae,Macruronus novaezelandiae,623193,N/A,Juvenile,Juvenile,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,11,NA,NA,NA,NA,NA,NA,NA,NA,22.5,0.4,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Gadiformes,Moridae,Notophycis,marginata,Notophycis marginata,623169,N/A,Juvenile,Juvenile,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,23.9,0.5,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Echinodermata,Ophiuroidea,Ophiurida,Ophiacanthidae,Ophiacantha,fidelis,Ophiacantha fidelis,NA,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.5,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Decapoda,N/A,N/A,N/A,Brachyuran,NA,Crab,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,15,NA,NA,NA,NA,NA,NA,NA,NA,14.4,0.2,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Cnidaria,Anthozoa,N/A,N/A,N/A,N/A,Anthozoa,51938,Coral,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,1,NA,NA,NA,NA,NA,NA,NA,NA,15.1,NA,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,australiensis,Mediaster australiensis,990130,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,15.3,0.3,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Decapoda,Paguridae,N/A,N/A,Paguridae,97774,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,4,NA,NA,NA,NA,NA,NA,NA,NA,16.3,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Decapoda,Munididae,Scolonida,haswelli,Scolonida haswelli,1202412,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,16.4,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Decapoda,Crangonidae,Sclerocrangon,N/A,Sclerocrangon,97152,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,2,NA,NA,NA,NA,NA,NA,NA,NA,17.4,0.7,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Thaliacea,Pyrosomida,Pyrosomatidae,Pyrosoma,atlanticum,Pyrosoma atlanticum,159636,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,17.9,0.4,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Decapoda,Campylonotidae,Campylonotus,rathbunae,Campylonotus rathbunae,96212,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,8,NA,NA,NA,NA,NA,NA,NA,NA,18.8,0.2,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Decapoda,Solenoceridae,Haliporoides,N/A,Haliporoides,96014,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,11,NA,NA,NA,NA,NA,NA,NA,NA,19.4,0.2,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Mollusca,Cephalopoda,Sepiolida,Sepiolidae,Sepiola,N/A,Sepiola,82356,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,20.3,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Gadiformes,Macrouridae,Caelorinchus,N/A,Caelorinchus,165362,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,11,NA,NA,NA,NA,NA,NA,NA,NA,20.4,0.3,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Decapoda,Pandalidae,Plesionika,martia,Plesionika martia,97020,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,7,NA,NA,NA,NA,NA,NA,NA,NA,20.4,0.3,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Mollusca,Gastropoda,N/A,N/A,N/A,N/A,Gastropoda,69459,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,2,NA,NA,NA,NA,NA,NA,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Chordata,Teleostei,Gadiformes,Macrouridae,Lucigadus,nigromaculatus,Lucigadus nigromaculatus,623055,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,18,NA,NA,NA,NA,NA,NA,NA,NA,21.1,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Annelida,Polychaeta,N/A,N/A,N/A,N/A,Polychaeta,64358,Polychaete,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,4,NA,NA,NA,NA,NA,NA,NA,NA,21.3,1.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,N/A,N/A,Euphausiidae,95500,Euphausiids,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,10,NA,NA,NA,NA,NA,NA,NA,NA,21.7,0.1,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,N/A,Pasiphaea,96162,N/A,NA,N/A,N/A,Stomach contents,Maria Island,Southeast Australian Shelf,Pacific,Formalin or Frozen,1,Bomb calorimetry,Whole body,8,NA,NA,NA,NA,NA,NA,NA,NA,21.9,0.4,NA,NA,NA,NA,NA,NA,Original,Blaber and Bulman,Marine Biology,1987,%Water not provided to convert dry to wet weight
