Phylum,Class,Order,Family,Genus,Species,TSN,ED_mean,ED_sd,n_species,n_tests,n_replicates
Ciliophora,Ciliatea,Hymenostomatida,Tetrahymenidae,Tetrahymena,pyriformis,46387,NA,NA,1,1,1
Porifera,---,---,---,---,---,46861,3.533636364,0.284861189,7,13,35
---,Calcarea,Leucosolenida,Sycettidae,Scypha,---,46969,NA,NA,1,1,3
---,Demospongiae,---,---,---,---,47528,3.533636364,0.298764935,6,12,32
---,---,Haplosclerida,Chalinidae,Haliclona,gracilis,47777,4.35,0.653405938,1,3,8
---,---,Poecilosclerida,---,---,---,47862,4.426666667,0.074712248,2,4,12
---,---,---,Coelosphaeridae,Lissodendoryx,indistincta,NA,4.4,0,1,1,1
---,---,---,Mycalidae,Mycale,lingua,48202,4.44,0.078753624,1,3,11
---,---,Hadromerida,---,---,---,48443,2.688,0.081893888,2,4,11
---,---,---,Suberitidae,Suberites,ficus,48488,1.5,0.073539105,1,1,3
---,---,---,Polymastiidae,Polymastia,mamillaris,48514,4.47,0.09570047,1,3,8
---,---,Spirophorida,Tetillidae,Tetilla,sibirica,NA,3.45,0,1,1,1
Cnidaria,---,---,---,---,---,48738,1.08097623,0.163129287,29,37,247
---,Hydrozoa,---,---,---,---,48739,0.5926,0.022885624,9,10,41
---,---,Trachymedusae,Halicreatidae,Botrynema,---,51130,0.108,0,1,1,5
---,---,Anthoathecatae,---,---,---,718925,0.899772727,0.030470791,5,6,24
---,---,---,Tubulariidae,Tubularia,regalis,48932,2.8825,0.0146,1,2,4
---,---,---,Corynidae,Syncoryne,---,49090,1.9,0.141421356,1,1,3
---,---,---,Hydridae,---,---,50844,NA,NA,2,2,2
---,---,---,---,Hydra,littoralis,50851,NA,NA,1,1,1
---,---,---,---,Chlorohydra,viridissima,50859,NA,NA,1,1,1
---,---,---,Bythotiaridae,Calycopsis,---,49403,0.171,0,1,1,15
---,---,Leptothecatae,Aequoreidae,Aequorea,victoria,50644,0.0574,0,1,1,1
---,---,Siphonophorae,Diphyidae,Diphyes,---,51306,0.215,0,1,1,10
---,Scyphozoa,---,---,---,---,51483,0.504712,0.090334858,7,14,150
---,---,Coronatae,---,---,---,51552,0.809358491,0.146605726,2,5,53
---,---,---,Atollidae,Atolla,---,51554,0.602944444,0.110991805,1,3,36
---,---,---,Periphyllidae,Periphylla,periphylla,51612,1.246470588,0.212493612,1,2,17
---,---,Semaeostomeae,---,---,---,51636,0.364606897,0.033685927,4,8,87
---,---,---,Pelagiidae,---,---,51637,0.198,0.059478994,2,2,15
---,---,---,---,Chrysaora,hysoscella,51653,0.092,0.027365032,1,1,10
---,---,---,---,Pelagia,noctiluca,51661,0.41,0.115470054,1,1,5
---,---,---,Cyaneidae,Cyanea,capillata,51671,0.16496875,0.038440187,1,2,32
---,---,---,Ulmaridae,Aurelia,aurita,51701,0.586795,0.012703957,1,4,40
---,---,Rhizostomeae,Rhizostomatidae,Rhizostoma,octopus,51917,0.109,0.043487067,1,1,10
---,Anthozoa,---,---,---,---,51938,2.998909091,0.313036849,13,13,56
---,---,Ceriantharia,Cerianthidae,---,---,51985,4.512,0.138181041,2,2,15
---,---,---,---,Cerianthus,borealis,51988,3.76,0.026870058,1,1,3
---,---,---,---,Ceriantheopsis,americana,51991,4.7,0.157321327,1,1,12
---,---,Alcyonacea,---,---,---,52016,2.944285714,0.128782375,2,2,7
---,---,---,Paragorgiidae,Paragorgia,arborea,52108,2.83,0.116672619,1,1,3
---,---,---,Primnoidae,Primnoa,resedaeformis,52307,3.03,0.18616122,1,1,4
---,---,Pennatulacea,---,---,---,52348,2.30625,0.073516438,2,2,8
---,---,---,Renillidae,Renilla,reniformis,52355,2.7,0.05939697,1,1,3
---,---,---,Pennatulidae,Pennatula,aculeata,52418,2.07,0.098149546,1,1,5
---,---,Actiniaria,---,---,---,52485,2.328,0.462883082,6,6,25
---,---,---,Halcampidae,Halcampa,arctica,52521,3.69,0,1,1,1
---,---,---,Actiniidae,Actinia,---,52588,2.82,1.106853649,1,1,6
---,---,---,Actinostolidae,Actinostola,callosa,52638,2.14,0.061149372,1,1,9
---,---,---,Hormathiidae,---,---,52651,1.605,0.014234509,2,2,6
---,---,---,---,Hormathia,---,52657,1.51,0.008555992,1,1,3
---,---,---,---,Actinauge,verrilli,52667,1.7,0.0271529,1,1,3
---,---,---,Metridiidae,Metridium,senile,52737,2.9,0.022627417,1,1,3
Ctenophora,---,---,---,---,---,53856,0.143277778,0.013009863,3,5,54
---,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia,---,53861,NA,NA,1,1,9
---,Nuda,Beroida,Beroidae,Beroe,---,53954,0.146,0,1,1,10
Platyhelminthes,Acentrosomata,Tricladida,---,---,---,54468,NA,NA,2,2,2
---,---,---,Dugesiidae,Dugesia,tigrina,54504,NA,NA,1,1,1
---,---,---,Geoplanidae,Bipalium,kewense,204236,NA,NA,1,1,1
Nemertea,---,---,---,---,---,57411,4.316666667,0.081472169,2,3,9
---,Pilidiophora,Heteronemertea,Lineidae,Cerebratulus,---,57446,4.6,0.09639917,1,1,7
Annelida,---,---,---,---,---,64357,3.622809689,0.292925219,45,61,304
---,Polychaeta,---,---,---,---,64358,3.616626335,0.296766139,43,59,296
---,---,N/A,Scalibregmatidae,Scalibregma,inflatum,67313,5.19,0,1,1,1
---,---,---,Opheliidae,Ophelia,---,67353,4.9,0.203646753,2,2,10
---,---,---,---,---,bicornis,67356,NA,NA,1,1,5
---,---,---,---,---,denticulata,67358,4.9,0.332553755,1,1,5
---,---,---,Capitellidae,Capitella,---,67414,2.07,0.273514168,1,2,40
---,---,---,Maldanidae,---,---,67515,2.938,0.048345452,3,5,14
---,---,---,---,Asychis,biceps,67522,5.24,0.164048773,1,1,3
---,---,---,---,Nicomache,lumbricalis,67542,2.131333333,0.012735734,1,2,9
---,---,---,---,Praxillella,praetermissa,67570,3.115,0,1,2,2
---,---,Sabellida,---,---,---,555671,3.81875,0.108554134,5,5,11
---,---,---,Oweniidae,Myriochele,heeri,67651,4.51,0,1,1,1
---,---,---,Sabellidae,---,---,68076,3.72,0.115139046,4,4,10
